Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
SIDNEY,61877,39.9974,1581,35.32121,61877,IL,-88.0823,1560
THOMASBORO,61878,40.2388,1459,23.79489,61878,IL,-88.1603,1454
TOLONO,61880,39.9786,3332,52.85059,61880,IL,-88.2499,3292
WELDON,61882,40.1059,589,27.55813,61882,IL,-88.7554,590
WESTVILLE,61883,40.0388,4365,12.59304,61883,IL,-87.6296,4411
WHITE HEATH,61884,40.0964,1323,30.90104,61884,IL,-88.4957,1302
ARCOLA,61910,39.694,4296,72.93353,61910,IL,-88.3012,4281
ARTHUR,61911,39.7022,4173,47.63627,61911,IL,-88.4845,4134
ASHMORE,61912,39.5284,1425,52.97923,61912,IL,-88.0335,1426
ATWOOD,61913,39.8297,2081,54.41526,61913,IL,-88.4659,2007
BETHANY,61914,39.6006,1896,69.45013,61914,IL,-88.8029,1898
BROCTON,61917,39.689,729,60.01473,61917,IL,-87.9148,742
CAMARGO,61919,39.7884,872,32.09342,61919,IL,-88.1189,860
CHARLESTON,61920,39.517,24653,162.19659,61920,IL,-88.1605,24508
CHRISMAN,61924,39.7995,2300,111.27407,61924,IL,-87.6258,2331
DALTON CITY,61925,39.6973,814,50.90316,61925,IL,-88.8219,817
GAYS,61928,39.4872,685,36.86961,61928,IL,-88.5409,681
HAMMOND,61929,39.8086,857,59.93722,61929,IL,-88.5971,933
HINDSBORO,61930,39.6854,525,26.80128,61930,IL,-88.124,529
HUMBOLDT,61931,39.601,853,41.70432,61931,IL,-88.303,862
HUME,61932,39.8158,535,48.25948,61932,IL,-87.8913,547
KANSAS,61933,39.5476,1088,40.53324,61933,IL,-87.9209,1101
LOVINGTON,61937,39.7257,2005,73.84862,61937,IL,-88.6471,1991
MATTOON,61938,39.5112,23089,154.1794,61938,IL,-88.3858,23111
METCALF,61940,39.789,454,74.51474,61940,IL,-87.7885,464
NEWMAN,61942,39.7926,1370,76.28229,61942,IL,-88.0096,1378
OAKLAND,61943,39.6465,1836,48.46871,61943,IL,-88.0286,1824
PARIS,61944,39.5988,13478,287.72312,61944,IL,-87.6999,14403
SULLIVAN,61951,39.5888,7347,121.80301,61951,IL,-88.5939,7274
TUSCOLA,61953,39.7976,6436,121.89023,61953,IL,-88.2906,6418
VILLA GROVE,61956,39.8616,2866,29.33681,61956,IL,-88.1592,2886
WINDSOR,61957,39.4281,2063,75.4488,61957,IL,-88.5791,2077
ALHAMBRA,62001,38.8833,1570,53.36653,62001,IL,-89.7423,1595
ALTON,62002,38.9404,33646,41.37506,62002,IL,-90.1276,34247
BATCHTOWN,62006,39.0965,680,28.91194,62006,IL,-90.6635,677
BENLD,62009,39.0916,1857,2.72148,62009,IL,-89.7978,1859
BETHALTO,62010,38.9274,10766,20.05721,62010,IL,-90.0534,10705
BINGHAM,62011,39.1496,540,52.06864,62011,IL,-89.1963,538
BRIGHTON,62012,39.0407,7170,69.21739,62012,IL,-90.1516,6913
BRUSSELS,62013,38.9729,1221,63.81102,62013,IL,-90.595,1225
BUNKER HILL,62014,39.0412,4059,55.22381,62014,IL,-89.9501,3997
